UF,Programa Local,Previsto Original em 2022,Previsto Ajustado em 2022,Despesa Executado em 2022,Total de Atendimentos em 2022,,Ano,Mes,Previsto Original em 2021,Previsto Ajustado em 2021,Despesa Executado em 2021,Total de Atendimentos em 2021,Previsto Original em 2020,Previsto Ajustado em 2020,Despesa Executado em 2020,Total de Atendimentos em 2020,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Previsto Original em 2024,Previsto Ajustado em 2024,Despesa Executado em 2024,Total de Atendimentos em 2024,Previsto Original em 2023,Previsto Ajustado em 2023,Despesa Executado em 2023,Total de Atendimentos em 2023,Previsto Original em 2015,Previsto Ajustado em 2015,Despesa Executado em 2015,Total de Atendimentos em 2015,Previsto Original em 2017,Previsto Ajustado em 2017,Despesa Executado em 2017,Total de Atendimentos em 2017,Previsto Original em 2016,Previsto Ajustado em 2016,Despesa Executado em 2016,Total de Atendimentos em 2016,Previsto Original em 2018,Previsto Ajustado em 2018,Despesa Executado em 2018,Total de Atendimentos em 2018
AL,Programas Locais - Alagoas,"R$0,00","R$6.701.401,00","R$5.154.968,34",2.657,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Fevereiro,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$0,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$3.687,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$7.371,00",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$21.229,44",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$34.530,96",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$38.632,46",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - TECNOLOGIA DISRUPTIVA,nan,nan,nan,nan,,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,"R$864.000,00","R$864.000,00","R$38.632,46",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - Empreendedorismo nas Escolas e Universidades,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$1.097.000,00","R$879.000,00","R$633.041,28",25.222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,AM - FOMENTO AO CRÉDITO,nan,nan,nan,nan,,2024,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$1.889.320,00","R$1.856.320,00","R$1.687.636,63",17.341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,PGL - Sebrae + Ágil,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$7.136.689,00","R$9.196.700,00","R$8.090.115,21",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,PGL-Parceria com a AFEAM,nan,nan,nan,nan,,2023,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"R$1.592.500,00","R$1.568.500,00","R$1.485.426,84",16.083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
