UF,Programa Nacional,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
AC,DataBiz,"R$640.000,00","R$640.000,00","R$4.675,20",0.0,,2025,Junho
AC,Educação que Transforma,"R$600.000,00","R$600.000,00","R$146.245,57",318.0,,2025,Junho
AC,Governança Empreendedora,"R$336.906,00","R$336.906,00","R$2.307,50",0.0,,2025,Junho
AC,Impulsionar Negócios,"R$7.136.070,00","R$7.136.070,00","R$2.255.586,10",9.177,,2025,Junho
AC,Impulso Tecnológico,"R$2.491.140,00","R$2.491.140,00","R$104.478,86",212.0,,2025,Junho
AC,Move + Vendas,"R$1.419.315,00","R$1.419.315,00","R$453.886,24",491.0,,2025,Junho
AC,Plural,"R$138.700,00","R$178.700,00","R$46.660,74",342.0,,2025,Junho
AC,Cidades e Territórios Empreendedores,"R$3.044.585,00","R$3.138.061,00","R$1.111.480,87",0.0,,2025,Julho
AC,Cliente 360,"R$6.945.449,00","R$5.614.061,00","R$2.331.548,10",18.757,,2025,Julho
AC,Conecta Tech,"R$2.592.141,00","R$2.592.141,00","R$689.335,03",0.0,,2025,Julho
AC,Conexão Financeira,"R$432.646,00","R$392.646,00","R$88.820,25",314.0,,2025,Julho
AC,Conexões Corporativas,"R$111.940,00","R$201.940,00","R$84.981,28",56.0,,2025,Julho
AC,DataBiz,"R$640.000,00","R$640.000,00","R$4.675,20",0.0,,2025,Julho
AC,Educação que Transforma,"R$600.000,00","R$600.000,00","R$171.335,51",409.0,,2025,Julho
AC,Governança Empreendedora,"R$336.906,00","R$781.906,00","R$476.114,50",0.0,,2025,Julho
AC,Impulsionar Negócios,"R$7.136.070,00","R$8.047.458,00","R$2.937.962,16",10.802,,2025,Julho
AC,Impulso Tecnológico,"R$2.491.140,00","R$2.491.140,00","R$162.409,78",666.0,,2025,Julho
AC,Move + Vendas,"R$1.419.315,00","R$1.419.315,00","R$593.430,33",614.0,,2025,Julho
AC,Plural,"R$138.700,00","R$378.700,00","R$61.282,84",554.0,,2025,Julho
AC,Cidades e Territórios Empreendedores,"R$3.044.585,00","R$3.138.061,00","R$1.120.402,87",0.0,,2025,Agosto
AC,Cliente 360,"R$6.945.449,00","R$5.614.061,00","R$2.407.078,64",19.909,,2025,Agosto
AC,Conecta Tech,"R$2.592.141,00","R$2.592.141,00","R$689.335,03",0.0,,2025,Agosto
AC,Conexão Financeira,"R$432.646,00","R$392.646,00","R$92.170,25",331.0,,2025,Agosto
AC,Conexões Corporativas,"R$111.940,00","R$201.940,00","R$84.981,28",56.0,,2025,Agosto
AC,DataBiz,"R$640.000,00","R$640.000,00","R$4.675,20",0.0,,2025,Agosto
AC,Educação que Transforma,"R$600.000,00","R$600.000,00","R$186.335,51",409.0,,2025,Agosto
AC,Governança Empreendedora,"R$336.906,00","R$781.906,00","R$480.354,50",0.0,,2025,Agosto
AC,Impulsionar Negócios,"R$7.136.070,00","R$8.047.458,00","R$3.046.504,16",11.253,,2025,Agosto
AC,Impulso Tecnológico,"R$2.491.140,00","R$2.171.140,00","R$167.889,28",666.0,,2025,Agosto
AC,Move + Vendas,"R$1.419.315,00","R$1.419.315,00","R$614.343,09",617.0,,2025,Agosto
AC,Plural,"R$138.700,00","R$378.700,00","R$61.282,84",575.0,,2025,Agosto
AC,Governança Empreendedora,"R$2.695.248,00","R$3.585.248,00","R$958.776,50",0.0,,2025,Novembro
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.250.000,00","R$591,01",0.0,,2025,Janeiro
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$48,00",6.996,,2025,Janeiro
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$0,00",17.0,,2025,Janeiro
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Janeiro
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$0,00",0.0,,2025,Janeiro
AL,Educação que Transforma,"R$500.000,00","R$500.000,00","R$35.000,00",0.0,,2025,Janeiro
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Janeiro
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$179.889,69",308.0,,2025,Janeiro
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$38.462,46",0.0,,2025,Janeiro
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$82.500,00",0.0,,2025,Janeiro
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.250.000,00","R$28.666,99",20.0,,2025,Fevereiro
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$132.728,66",24.905,,2025,Fevereiro
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Fevereiro
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$0,00",47.0,,2025,Fevereiro
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Fevereiro
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$31.444,64",0.0,,2025,Fevereiro
AL,Educação que Transforma,"R$500.000,00","R$500.000,00","R$93.207,14",1.0,,2025,Fevereiro
AL,Governança Empreendedora,"R$200.000,00","R$200.000,00","R$0,00",0.0,,2025,Fevereiro
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Fevereiro
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$328.226,08",806.0,,2025,Fevereiro
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$93.039,59",1.0,,2025,Fevereiro
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Fevereiro
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$112.225,51",355.0,,2025,Fevereiro
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$0,00",0.0,,2025,Fevereiro
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.250.000,00","R$114.918,18",18.0,,2025,Março
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$343.568,49",31.763,,2025,Março
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Março
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$0,00",83.0,,2025,Março
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Março
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$64.289,28",0.0,,2025,Março
AL,Educação que Transforma,"R$500.000,00","R$500.000,00","R$148.064,09",1.0,,2025,Março
AL,Governança Empreendedora,"R$200.000,00","R$200.000,00","R$0,00",0.0,,2025,Março
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$1.145,86",0.0,,2025,Março
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$813.076,49",1.465,,2025,Março
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$221.569,37",1.0,,2025,Março
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Março
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$206.552,87",355.0,,2025,Março
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$7.510,81",0.0,,2025,Março
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.250.000,00","R$176.369,13",17.0,,2025,Abril
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$1.068.008,81",47.2,,2025,Abril
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Abril
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$8.140,09",115.0,,2025,Abril
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Abril
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$98.600,13",0.0,,2025,Abril
AL,Educação que Transforma,"R$500.000,00","R$500.000,00","R$229.630,97",1.0,,2025,Abril
AL,Governança Empreendedora,"R$200.000,00","R$200.000,00","R$4.476,00",0.0,,2025,Abril
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$41.324,96",0.0,,2025,Abril
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$1.293.753,63",2.034,,2025,Abril
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$738.705,19",1.0,,2025,Abril
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$0,00",0.0,,2025,Abril
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$374.886,11",355.0,,2025,Abril
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$139.596,30",0.0,,2025,Abril
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.336.664,00","R$287.491,65",14.0,,2025,Maio
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$2.281.269,02",67.491,,2025,Maio
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Maio
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$16.205,09",322.0,,2025,Maio
AL,Conexões Corporativas,"R$360.000,00","R$360.000,00","R$0,00",0.0,,2025,Maio
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$135.380,77",0.0,,2025,Maio
AL,Educação que Transforma,"R$500.000,00","R$500.000,00","R$283.081,69",218.0,,2025,Maio
AL,Governança Empreendedora,"R$200.000,00","R$200.000,00","R$4.476,00",0.0,,2025,Maio
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$102.604,96",0.0,,2025,Maio
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$1.956.362,29",2.69,,2025,Maio
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$957.043,17",1.0,,2025,Maio
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$2.320,00",6.0,,2025,Maio
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$519.339,61",355.0,,2025,Maio
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$197.160,08",0.0,,2025,Maio
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.336.664,00","R$531.446,20",13.0,,2025,Junho
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$4.653.616,07",109.58,,2025,Junho
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Junho
AL,Conexão Financeira,"R$200.000,00","R$200.000,00","R$29.445,23",368.0,,2025,Junho
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Junho
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$392.727,37",0.0,,2025,Junho
AL,Educação que Transforma,"R$500.000,00","R$627.792,00","R$370.367,51",3.186,,2025,Junho
AL,Governança Empreendedora,"R$200.000,00","R$153.400,00","R$4.476,00",0.0,,2025,Junho
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$176.020,46",0.0,,2025,Junho
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.539.481,00","R$3.519.084,67",3.291,,2025,Junho
AL,Impulso Tecnológico,"R$3.629.000,00","R$3.629.000,00","R$2.399.856,67",1.0,,2025,Junho
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$96.187,32",18.0,,2025,Junho
AL,Plural,"R$1.600.000,00","R$1.600.000,00","R$1.228.075,69",519.0,,2025,Junho
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$224.365,48",0.0,,2025,Junho
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.297.664,00","R$788.662,49",13.0,,2025,Julho
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$5.790.436,68",131.627,,2025,Julho
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Julho
AL,Conexão Financeira,"R$200.000,00","R$500.000,00","R$37.817,44",404.0,,2025,Julho
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Julho
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$478.688,93",0.0,,2025,Julho
AL,Educação que Transforma,"R$500.000,00","R$877.792,00","R$487.687,91",6.855,,2025,Julho
AL,Governança Empreendedora,"R$200.000,00","R$192.400,00","R$16.556,00",0.0,,2025,Julho
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$291.465,02",0.0,,2025,Julho
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.099.481,00","R$4.284.585,47",5.101,,2025,Julho
AL,Impulso Tecnológico,"R$3.629.000,00","R$4.229.000,00","R$2.613.111,66",1.0,,2025,Julho
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$145.721,19",33.0,,2025,Julho
AL,Plural,"R$1.600.000,00","R$1.880.000,00","R$1.391.708,48",1.492,,2025,Julho
