UF,Programa Local,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$8.020.000,00","R$0,00",0.0,,2025,Fevereiro
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$97.789,03",128.0,,2025,Fevereiro
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.910.000,00","R$0,00",0.0,,2025,Março
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$224.436,04",269.0,,2025,Março
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.910.000,00","R$0,00",0.0,,2025,Abril
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$311.094,81",463.0,,2025,Abril
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$0,00",0.0,,2025,Maio
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$663.818,04",742.0,,2025,Maio
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$30.911,10",0.0,,2025,Junho
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.618.143,00","R$883.499,36",1.243,,2025,Junho
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$7.445.974,00","R$36.978,13",0.0,,2025,Julho
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.498.143,00","R$1.080.358,30",1.622,,2025,Julho
TO,TO - Parcerias Institucionais,"R$8.020.000,00","R$9.580.592,00","R$37.642,33",0.0,,2025,Agosto
TO,TO - Programa Rede Empreender,"R$2.618.143,00","R$2.498.143,00","R$1.147.861,01",1.699,,2025,Agosto
